id,name,sku,quantity,price_cents,expiry_date
91,ALDOMET 250 MG TABLET,33,60,638,2020-09-30
92,ADALAT RETARD TABLET,34,37,569,2020-02-02
93,ANTIAL 10 MG TABLET,43,23,1100,2020-10-30
94,ARCEVA 80 480 MG TABLET,325,21,5578,2019-08-30
95,MABIL INJECTION,57,20,2550,2019-09-30
96,BRITANYL SYRUP,41,7,3312,2021-01-30
97,LIBRAX 5+2.5 MG TABLET,48,55,400,2020-01-01
98,BATNESOL N DROP ,40,8,3389,2018-08-08
99,BATNESOL TABLET,56,40,125,2018-05-05
100,MECOBAL TABLETS,1379,150,666,2020-10-31
101,BETNOVATE N OINTMENT,54,1,3335,2018-11-11
102,BETNESOL N EYE OINTMENT,187,9,1902,2020-10-31
103,BETNESOL EYE OINTNENT,52,15,2107,2019-06-30
104,BUSCOPAN PLUS TABLET,1054,49,390,2019-08-30
105,PROLIFEN 50 MG CAPSULES,39,8,4027,2021-11-11
106,SATHI JAMBO PACK,62,19,3000,2020-11-30
107,BANDAGES 5 CM X 3M,253,8,1000,2019-09-09
108,B12 INJECTION ,992,5,1000,2019-08-30
109,BRUFEN POND ,109,4,4500,2019-08-08
110,PAEDI CARE ORANGE FLAVOUR ,232,3,8000,2019-07-30
111,BRUFEN TABLET YELLOW,933,1000,75,2019-01-20
112,HI-SERVIN 20 120 MG TABLETS,751,32,1937,2018-09-09
113,RUMADOL CF TABLETS,967,198,200,2019-10-31
114,RITHMO 250 MG SYRUP,153,1,40000,2019-08-08
115,BCOMPLEX TABLET LOZ,78,1000,20,2019-07-07
116,BASCODIL TABLET LOZ,74,324,30,2018-11-11
117,CEF-OD 400 MG CAPSULES,85,8,6500,2018-11-11
118,QSARTAN PLUS 50 12.5 TABLETS,63,20,1500,2018-09-09
119,BRUFEN DS  SYRUP,59,15,6086,2019-12-30
120,BRUFEN SYRUP,864,29,4937,2021-01-30
121,BRUFEN 400 MG TABLET,86,69,239,2019-10-10
122,D-KOF SYRUP,67,24,15000,2019-03-02
123,BEPANTHEN PLUS CREAM,66,3,6338,2019-10-10
124,SECURE 30 ML SYRUP,60,2,18000,2019-06-04
125,BROPHYL D SYRUP,72,0,5000,2018-05-05
126,BRUFEN CREAM,64,2,4400,2020-05-05
127,SURGEE CREPE BANDAGE LARGE,79,4,10500,2020-07-30
128,SURGEE CREPE BANDAGE MEDIUM,80,2,8700,2020-05-05
129,EZIDAY 25 MG TABLET,83,26,990,2019-09-09
130,ALWAYS MAXI THICK EXTRA LONG 18 PEAC,68,1,29000,2018-12-09
131,MONIS 40 MG TABLETS,69,20,700,2020-03-03
132,CALPOL SYRUP,173,11,4732,2019-10-30
133,COLGATE SENSITIVE ORIGINAL 100 GR,77,3,12500,2020-05-15
134,CALCIUM P SYRUP,87,3,5400,2020-09-07
135,ONITA SACHET,71,7,11000,2018-05-05
136,CAC 1000 PLUS ORANGE FLAVOUR TABLETS,76,3,12444,2019-10-30
137,CAC PLUS TABLT LARGE,93,2,23644,2019-09-09
138,BEXACIM FORTE SYRUP,95,5,20000,2018-12-30
139,CPM TABLET LOZ,217,1000,20,2020-01-03
140,CANESTEN CREAM,97,3,5466,2020-10-30
141,CIPROFLOXACIN 500 MG TABLET ,1120,105,2500,2020-01-30
142,CIPROFLOXACIN 250 MG TABLETS,854,35,1500,2019-10-30
143,CAPOTEN 25 MG TABLET ,296,24,766,2020-09-30
144,COTRI TABLET ,103,205,200,2020-09-30
145,NIVAQUINE P 250 MG TABLETS,108,0,141,2019-09-09
146,CANESTEN TABLET,115,2,13892,2020-01-01
147,PONDS MOISTURISING COLD CREAM,470,0,18500,2018-10-25
148,COLDREX TABLET,101,1126,200,2020-01-17
149,CLOPAN INJECTION,92,70,2000,2020-06-01
150,CICATRIN POWDER,110,6,4485,2019-11-30
151,COTTON ROLL CHOTA,560,14,5000,2019-03-02
152,COREX D 120 ML SYRUP,104,11,7210,2019-08-08
153,CARICEF 100 MG SYRUP,116,4,16500,2019-10-30
154,CARICEF DS SYRUP,425,5,25500,2019-11-30
155,CARICEF 400 MG CAPSUL,105,8,7500,2019-10-30
156,CEPOREX 125 MG SYRUP,114,3,9027,2019-11-30
157,CEPOREX 250 MG SYRUP,113,2,15500,2019-07-07
158,PACIFIC MIXTURE 120 ML SYRUP,98,13,6461,2020-11-30
159,CARE NIPPLE,96,21,2500,2021-12-28
160,COSOME SYRUP,99,7,8000,2020-11-30
161,RUBIFER TABLET ,100,20,988,2020-03-03
162,CEFSPAN 100 MG SYRUP ,106,1,29009,2019-11-30
163,CEFSPAN DS SYRUP ,112,1,35000,2019-09-30
164,CITRALKA SYRUP,474,14,4024,2020-08-30
165,CALPOL 6 PLUS SYRUP ,94,7,5452,2020-08-30
166,COLIC 90 ML SYRUP,90,1,7000,2018-07-07
167,COLIC DROP,111,4,6000,2019-10-30
168,OVAFIN 50 MG TABLETS,133,10,2890,2020-05-05
169,CHLOROQUIN TABLET LOZ,1116,1000,50,2020-01-20
170,LISPRIL 5MG TABLETS,142,18,270,2019-07-07
171,CHLORAMPHENICOL CAPSULES,1059,46,500,2020-08-03
172,COBOLMIN INJECTION,118,4,3926,2019-06-06
173,COBOLMIN TABLET,123,59,755,2019-10-30
174,NEUROMAX TABLETS,140,20,900,2019-05-05
175,SHIELD ANGULAR BURSH,132,11,2000,2022-02-02
176,CHEWCAL TABLET,486,2,9155,2019-10-30
177,CEPOREX DRAPS,141,2,7506,2019-03-03
178,CLARITEK 125 MG SYRUP,129,1,23100,2019-10-30
179,CECON TABLET,131,0,9778,2018-12-30
180,CECON  DRAP,127,2,3763,2019-03-02
181,CENTRUM TABLET,128,50,583,2018-04-04
182,COBRA-120 TABLET,125,2,5000,2020-10-10
183,CRAN MAX SACHETS,137,20,2950,2019-10-30
184,CITRO SODA ORANGE FLAVOURED,136,45,1150,2019-01-30
185,CLOBEDERM CAREM,143,9,3220,2019-09-30
186,CLOBEDERM NN OINTMEN,134,14,4800,2019-09-30
187,CLOBEDERM OINTMENT,145,18,5175,2019-10-30
188,CANDEREL 100 TABLET,119,13,10000,2020-12-30
189,CLOBEVATE CAREM,1878,30,5900,2020-01-01
190,CLOBEVATE OINTMENT,483,19,5500,2019-12-31
191,CIMET 400 MG TABLET,135,60,480,2020-08-30
192,DEPO-MEDROL 80 MG 2 ML INJECTION,144,1,23485,2019-09-09
193,COMBINOL H+PLUS SYRUP,122,2,11500,2019-02-02
194,DECADRON INJECTION,1865,27,2000,2019-10-30
195,CEPOREX 250 MG CAPSULES,121,12,862,2019-05-05
196,DRIP SET,599,11,3500,2020-07-07
197,DEXA TABLET ,157,1000,18,2020-12-11
198,DEXA INJECTION,313,164,1000,2019-11-25
199,DEXACHLOR DROP,607,23,2500,2019-12-31
200,DICLORAN GEL,164,5,7553,2019-10-30
201,DIGAS DROP ,160,14,8000,2019-10-30
202,DIGAS TABLET,169,3,9000,2019-10-30
203,EXEN D SYRUP,163,1,20000,2019-03-03
204,MONIS 20 MG TABLETS,451,24,425,2020-05-05
205,LEUCO CURE CAPSULES,307,1,19000,2019-03-03
206,ED-3 INJECTION,148,2,14500,2019-05-05
207,SAFI SYRUP,172,2,6000,2020-09-09
208,RHEUGIN SR CAPSUL,1804,28,500,2018-12-12
209,RHEUGIN 50 CAPSUL,155,210,500,2019-05-05
210,DICLO INJECTION,802,40,1000,2019-10-10
211,DICLORAN 50 MG TABLET,165,95,579,2020-11-30
212,DICLORAN SR TABLET,152,67,1134,2020-09-30
213,DICLORAN INJECTION,156,23,2500,2020-09-30
214,DOXY CAPSUL,691,117,300,2020-10-30
215,AKSEER-E-NISWAN AJMAL,158,3,8000,2019-05-05
216,DISPRIN TABLET,1047,100,128,2020-10-10
217,DYNEL TABLET,161,30,169,2019-04-04
218,MAXIT 50 MG TABLETS,162,15,690,2019-01-01
219,SPRINGLEY WATER 1500 ML QARSHI,150,4,6000,2018-12-12
220,COMBIVAIR 400 MCG CAPSULES,168,68,1071,2019-08-30
221,DIAGESIC-P TABLET,166,109,850,2020-11-30
222,DECA-DURABOLIN 50  INJECTION,170,1,9200,2019-02-02
223,ENTOX P TABLET,1153,910,150,2021-09-09
224,ENTAMIZOL SYRUP,1301,8,5349,2019-11-30
225,ENTAMIZOL TABLET,159,45,253,2020-08-08
226,ENTAMIZOL DS TABLET,370,62,504,2020-11-11
227,ESSO 20 MG CAPSUL,149,42,1150,2019-09-30
228,ESSO 40 MG CAPSULS,151,19,2185,2019-02-02
229,ESSO 40 MG INJECTION,154,1,30000,2018-10-10
230,ENO ORANGE SACHETS,722,72,500,2020-10-30
231,BROTIN 2.5 MG TABLETS,198,23,1213,2019-05-05
232,ERYTHROCIN 200 MG SYRUP,181,2,6639,2019-01-01
233,ERYTHROCIN 500 MG TABLET,1053,81,1048,2020-06-06
234,ERYTHROCIN 250 MG TABLET,1232,133,548,2021-01-30
235,EVION 600 MG CAPSULES,200,4,600,2018-08-08
236,EZIDAY 50 MG TABLET,190,90,1475,2019-10-30
237,FRU CAPSUL,188,40,1750,2019-03-03
238,RED TOOTH PASTE 100 GR,1061,2,8500,2020-06-06
239,FERRICURE CAPSUL,184,45,1100,2019-10-01
240,FLAGYL DRIP,192,5,9394,2020-07-30
241,FLAGYL DRIP CHINA,1036,10,6900,2020-06-30
242,FLAGYL SYRUP,185,4,4800,2019-08-30
243,GLUCOPHAGE 250 MG TABLET ,196,150,92,2020-07-07
244,FEBROL SYRUP,193,3,2800,2019-05-05
245,FEFOLVIT CAPSUL,489,174,326,2019-05-30
246,FEFOL CAPSUL,186,106,192,2019-11-30
247,FEROPYORHEAN ,203,3,4000,2020-09-30
248,FLUEZE SHASHY,178,26,1200,2019-11-30
249,MOBIKARE DR 75 MG CAPSULES,183,28,805,2018-09-09
250,FLAGYL 400 MG TABLET,963,262,157,2020-09-30
251,SAFGO-MET 1 500 MG TABLETS,176,60,507,2018-12-12
252,FLAGYL 400 MG TABLET LOZ,177,250,30,2020-12-28
253,FOLIC ACID TABLET ALBRO,554,1,18500,2018-12-12
254,FOLIC ACID TABLET LOZ,479,1000,100,2018-12-12
255,FURACIN CAREM,197,0,2628,2019-01-30
256,FAULAD QARSHI SYRUP,180,6,11000,2019-11-30
257,FURADIL TABLET,201,650,20,2018-06-06
258,FLORAMAX CAPSUL,1155,145,321,2022-08-30
259,FANSIDAR TABLET,179,31,583,2019-01-01
260,FANSIDAR SYRUP,191,4,4000,2021-11-11
261,FRUITAMIN SACHETS,321,35,700,2019-08-30
262,FLUEZE TABLETS,214,170,250,2019-12-30
263,MONTIKA 5 MG TABLETS,231,14,1535,2018-12-12
264,GRAVINATE INJECTION,218,35,1012,2020-11-30
265,GRAVINATE SYRUP,216,7,4000,2020-11-30
266,GESTOFILL TABLET QARSHI,215,87,60,2020-08-08
267,GAVISCON SYRUP,207,6,7450,2019-07-30
268,GRIPE WATER NAUNEHAL,209,5,5000,2020-09-30
269,GYNAECOSID TABLET,212,11,3468,2022-08-01
270,GETRYL 1 MG TABLET,227,70,505,2020-10-30
271,GETRYL 2 MG TABLET,1126,83,840,2020-11-30
272,GETRYL 3 MG TABLET,414,45,1300,2020-11-30
273,GETRYL 4 MG TABLET,210,66,1900,2020-10-30
274,GLUCOPHAGE 500 MG TABLET,1171,240,154,2020-08-30
275,GLUCOPHAGE 1000 MG TABLET,970,236,242,2020-06-06
276,GLUCOPHAGE 850 MG TABLET,310,60,205,2020-08-30
277,GRASIL 100 MG INJECTION,222,5,10000,2019-07-30
278,GRASIL 250 MG INJECTION,228,3,14500,2019-04-04
279,GRASIL 500 MG INJECTION,230,2,20000,2019-02-02
280,GLYCERIN PUR 25GM,205,10,2200,2019-10-30
281,GLYCERIN PUR 150GM,226,0,12000,2019-02-02
282,GLYCERIN SUPPOSITORIES ADULTS MICKO,440,4,2890,2020-12-30
283,GRAVIBINAN 1 ML INJECTION ,208,5,10900,2022-10-30
284,GRAVIBINAN 2M INJECTION,220,5,18300,2022-10-30
285,GENTACIN INJECTION CHINA,229,8,1000,2019-07-07
286,MYCAL TABLETS,221,60,2250,2019-09-30
287,GETFORMIN 1 MG TABLET,204,75,506,2020-10-30
288,GETFORMIN 2 MG TABLET,225,101,835,2020-11-30
289,GAVISCON ADVAN SYRUP,211,7,12350,2019-10-30
290,GESTOFILL SYRUP QARSHI,213,3,8000,2019-06-06
291,HYDRYLIN SYRUP,356,84,6900,2019-11-30
292,HYDRYLIN DM SYRUP,257,25,7200,2020-01-30
293,HYDRYLIN SYRUP SUGER FREE,439,13,6900,2019-11-30
294,HEPA-MERZ SYRUP,250,2,14785,2019-08-08
295,HEPA-MERZ INFUSION,252,5,21180,2018-11-11
296,HEALER 20 CAPSUL,235,36,1029,2018-12-12
297,IMODIUM CAPSUL,234,97,323,2022-09-30
298,XAVOR DIU TABLET,243,10,1562,2019-10-30
299,SPASLER NEO TABLETS,255,16,583,2019-02-02
300,IPS  F 60 ML SYRUP ,357,1,9500,2018-04-04
301,CUTIS 125 MG TABLETS,236,16,2700,2020-06-01
302,INDERAL  10 MG TABLETS LOZ,237,27,133,2022-04-04
303,IMATET TETANUS INJECTI,1104,5,4260,2019-11-30
304,JETEPAR CAPSUL,244,2,7800,2019-06-30
305,JETEPAR SYRUP ,240,2,15215,2019-07-07
306,JETEPAR 10 INJECTION,248,9,3000,2019-01-01
307,EZIDAY 100 MG TABLET ,254,20,1800,2019-11-30
308,JOHAR JOSHANDA QARSHI,318,27,1000,2020-09-09
309,KANADEX CREAM,1127,5,3500,2020-10-30
310,KUNDER CAPSUL,258,132,300,2019-10-10
311,KINZ 10 MG INJECTION,256,20,6300,2020-01-01
312,KANAMYCIN INJECTION CH,259,2,1000,2019-08-08
313,MABIL TABLETS,261,27,570,2019-06-06
314,KALI MARHAM,241,3,2000,2022-01-24
315,KLARICID 125 MG SYRUP ,238,2,31950,2019-11-30
316,CURALL A EYE DROPS,242,2,4255,2018-09-09
317,KLEEN ANIMA,251,1,4838,2018-11-11
318,DICLORAN DISPERLET 50 MG TABLETS,249,43,531,2020-07-30
319,DIGESTINE 40 MG CAPSULES,233,18,1290,2021-02-02
320,SOFAC GEL,493,2,6000,2018-02-02
321,LAMISIL CREAM,260,2,25417,2022-09-09
322,MO TU 7.5 MG TABLETS ,120,20,620,2018-12-12
323,DR.KOFF SYRUP,280,2,28600,2021-01-30
324,LAXOBERON 120 ML SYRUP,268,2,7475,2020-08-30
325,MOBIKARE 50 MG CAPSULES,262,5,490,2020-03-03
326,LIDOSPORIN DROP,269,10,2142,2019-09-30
327,REVOMET PLUS GEL,263,0,10244,2018-09-09
328,REVOMET GEL,264,1,8200,2018-07-07
329,LINCOCIN INJECTION CH,1864,33,2000,2020-10-30
330,LINCOCIN INJECTION 600,277,18,5869,2019-09-30
331,LINCOCIN 500 MG CAPSUL,662,84,1094,2020-09-30
332,LETIRIX TABLET,289,1,550,2018-02-04
333,LASIX 20 MG TABLET,266,107,113,2020-09-30
334,LASIX 40 MG TABLET,278,146,189,2020-08-30
335,LASIX INJECTION,281,17,564,2018-04-04
336,SECURE DS SYRUP,1449,2,26000,2019-06-05
337,LONACORT INJECTION,247,3,4692,2020-09-30
338,LEVIJON SYRUP,284,3,14280,2018-12-12
339,SPARAXIN 100 MG TABLETS,267,20,6780,2019-10-30
340,DISPRIN PACKET TABLETS,274,3,12858,2020-10-30
341,MEPORE 9X35 CM,776,2,17000,2019-07-30
342,LINCOCIN 300 INJECTION,290,10,3905,2019-10-30
343,IKSIR JIGER SYRUP QARSHI,510,3,10000,2020-08-08
344,LIGNOCAINE GEL,265,4,3116,2020-10-01
345,LOTRIX CREAM,617,5,6188,2022-11-11
346,LEVOPRAID 25 MG TABLET,276,23,1106,2022-10-30
347,MOSEGOR 60 ML SYRUP  ,591,2,6300,2019-09-09
348,MOSEGOR V 60 ML SYRUP,508,3,10958,2020-05-05
349,MOSEGOR TABLET,279,61,505,2018-12-12
350,MAXOLON SYRUP,275,1,2983,2022-07-13
351,METODINE SYRUP,285,5,8250,2019-06-30
352,METODINE DF SYRUP,270,1,5200,2019-07-07
353,METODINE TABLET,316,60,513,2020-04-30
354,POLYMALT TABLETS,312,35,850,2019-10-01
355,METHACHLOR DRAP,550,18,2500,2019-08-30
356,SHINE-D CAPSULES,301,5,18000,2019-03-03
357,MS 33,308,1,5000,2020-05-05
358,METHYCOBAL TABLET,883,81,1464,2020-09-30
359,METHYCOBAL INJECTION,311,9,9360,2020-08-30
360,MYTEKA SACHETS,306,12,1785,2019-12-30
361,MOSPEL LIOTION,302,4,13000,2019-02-02
362,MOOV CREM,295,1,12000,2020-03-03
363,STILLMANS GREEN CREAM,337,1,25000,2020-12-30
364,VEET DRY SKIN 25 G CREAM,1319,1,9000,2019-11-30
365,NEODIPAR 850 MG TABLET,368,114,200,2020-09-30
366,MOTILIUM SYRUP,293,2,8520,2020-08-08
367,MOTILIUM TABLET,1052,116,437,2022-09-30
368,MOVAX 2 MG TABLET,353,35,1288,2020-10-30
369,FACE MASK ,309,48,500,2024-01-01
370,COLIC POND,291,2,4000,2019-09-09
371,MIURA-D VITAMIN D3  INJECTION,300,2,11200,2018-12-12
372,MYCITRACIN CAREM,303,4,11000,2019-10-30
373,MANACID FORTE SYRUP,304,6,3500,2019-03-03
374,NILSTATE DROPS,299,12,5779,2020-11-30
375,NEXPRO 20 CAPSUL,292,15,850,2018-03-03
376,NEXPRO 40 CAPSUL,294,3,2285,2018-03-03
377,TOCINOX INJECTION,305,11,1000,2018-08-08
378,NIMS TABLETS,556,86,560,2019-10-30
379,NOVIDAT INJECTION,317,1,16400,2019-09-09
380,NOVIDAT 500 MG TABLET,789,60,2813,2020-10-30
381,NOVIDAT 250 MG TABLET,1076,54,1510,2020-09-30
382,NAPROX 250 MG TABLET,315,45,420,2019-09-09
383,NAPROX 500 MG TABLET,444,8,715,2019-10-10
384,NL-33 MILK,322,0,73000,2019-04-12
385,CEF-OD DS SYRUP,344,3,24500,2019-08-01
386,NOVIDAT 250 MG SYRUP,324,6,16229,2019-10-30
387,NEO-SEDIL SYRUP,320,5,3600,2019-09-30
388,NUBEROL TABLET,333,96,426,2020-08-30
389,PROVIRON 25 MG TABLET,329,20,1237,2021-05-05
390,NO-SPA TABLET,897,25,720,2019-05-05
391,NO-SPA INJECTION,345,12,3190,2019-06-06
392,NAVIDOXINE TABLET,341,143,195,2021-11-30
393,INTIG-D 60 ML SYRUP,339,1,11000,2018-05-05
394,BRELET 120 ML SYRUP,332,3,17500,2019-03-03
395,NIDO 1 PLUS 400 GR MILK,351,5,42500,2018-11-30
396,OTOSPORIN DROPS,343,10,2536,2019-09-30
397,OMEGA 20 MG CAPSUL,1119,43,1392,2019-10-30
398,OMEGA 40 MG CAPSUL,335,35,1811,2019-10-09
399,OMEGA 40 MG INJECTION,347,3,29000,2019-03-30
400,OXIDIL 250 MG IM INJECTION,846,2,11000,2019-07-30
401,OXIDIL 500 MG IM INJECTION,1070,3,17500,2019-10-30
402,OXIDIL 1000 MG INJECTION,519,3,28000,2019-06-30
403,OEM ORS ORANGE FLAVOUR SACHET,499,20,1125,2019-09-30
404,PEDITRAL LEMON SACHETS,496,43,1800,2020-01-30
405,OSSOBON-D SYRUP,521,2,11000,2019-01-01
406,OSSOBON-D TABLET,581,60,561,2021-01-30
407,OTC CAPSUL LOZ,516,1000,100,2021-01-03
408,OPTACHLOR 0.5 DRAP,504,11,1300,2019-08-30
409,PALMONOL SYRUP,515,5,6500,2018-10-10
410,PANADOL SYRUP,1840,10,5246,2019-11-30
411,PANADOL DROP,494,7,3500,2019-11-30
412,PASBAN GOLD 120 ML SYRUP,671,5,7500,2019-05-30
413,PASBAN SUGER FREE 120 ML SYR,500,3,6000,2019-11-11
414,PASBAN 60 ML SYRUP,498,1,4500,2019-11-11
415,ZOLBI 40 MG CAPSULES,513,67,1786,2019-03-03
416,SONNET 500 MG IM INJECTION,505,1,15000,2018-08-08
417,RODEXIB SYRUP,503,2,5100,2019-09-30
418,PILAY-D CAPSUL,502,1,17500,2019-12-12
419,POTRAN TABLET ,376,176,500,2018-08-08
420,POTRAN TABLET LOZ,867,400,100,2020-12-28
421,PONSTAN TABLET,981,114,118,2022-10-30
422,PONSTAN FORT TABLET,374,128,228,2022-10-30
423,PONSTAN TABLET LOZ,587,1000,50,2019-01-03
424,PANADOL TABLET,1876,220,120,2022-07-07
425,PANADOL EXTERA TABLET,1113,150,159,2022-12-30
426,PIRITON TABLET,1102,615,28,2019-11-30
427,PIRITON SYRUP,375,7,2713,2020-11-30
428,PYODINE CHOTI ,358,7,6264,2020-11-30
429,PYODINE POND,360,1,33747,2019-10-10
430,PCM POND,366,2,5000,2019-11-30
431,PEDIA SURE POWDER,352,1,100000,2019-03-03
432,PRECIZ PREGNANCY STICK,1122,93,3000,2019-11-11
433,PCM TABLET LOZ,403,1000,50,2019-12-28
434,PROMETHAZIN TABLET LOZ,350,1000,20,2020-02-02
435,PROMETHAZIN POND,413,3,5000,2019-09-09
436,PRIMOLUT-N TABLET,431,235,583,2022-10-30
437,KENALOG CREAM,369,7,4080,2019-12-30
438,POLYFEX SKIN OINTMENT,355,11,4937,2022-11-30
439,POLYFEX PLUS CREAM,359,3,8050,2019-11-11
440,PANADOL CF TABLET,363,181,500,2019-11-30
441,FURAMID 60 ML SYRUP,364,4,2900,2018-11-11
442,PROVATE-G CREAM,454,10,6593,2019-10-01
443,PHENERGAN SYRUP,372,6,3300,2019-10-30
444,PENORIT TABLET,349,30,667,2020-04-04
445,PHLOGIN 50 MG CAPSUL,354,55,960,2020-07-30
446,PHLOGIN 100 CAPSUL,534,44,1677,2020-07-07
447,PHLOGIN INJECTION,383,17,2740,2020-06-06
448,DELKA 20 MG CAPSUL,1186,14,1028,2019-10-30
449,QUENCH 15 GR CREAM,395,2,5000,2020-11-30
450,RASHNIL CREAM,593,14,5210,2019-11-30
451,RESOCHIN TABLET,396,180,145,2020-03-03
452,RISEK 20 MG CAPSUL,378,45,1542,2020-04-30
453,RISEK 40 MG CAPSUL,392,36,2200,2020-09-30
454,RISEK 40 MG INJECTION,389,6,31000,2019-10-30
455,RUBIFER-F TABLET,379,42,988,2020-09-09
456,ROVISTA 20 MG TABLET,405,14,3540,2018-04-04
457,RIGIX TABLET ,390,154,466,2022-10-30
458,PROVAS INJECTION,401,5,1862,2018-08-08
459,FROBEN 50 MG TABLETS,380,28,543,2019-09-09
460,RINGER 500 ML DRIP,393,8,5600,2021-08-30
461,NS 100 ML DRIP,406,23,3800,2019-11-30
462,AVIL INJECTION,373,77,2000,2019-06-06
463,MORTEIN ULTRA FAST 400 ML ,1368,2,36000,2019-08-08
464,SANCOS SYRUP,402,0,5657,2019-11-11
465,SKILAX DROP,398,7,3600,2020-11-30
466,SOMOGEL CREAM,404,10,4937,2019-11-30
467,SOZO 20 CAPSUL,452,14,850,2018-05-05
468,CLARITEK 250 MG SYRUP,391,2,43529,2019-09-30
469,MARK 20 MG CAPSULES ,388,7,1030,2018-11-11
470,CANNA PETAL ROLL,387,0,2500,2022-02-04
471,SANGOBION CAPSUL,394,64,333,2019-09-09
472,STEMETIL TABLET,386,557,80,2020-10-30
473,LISTERINE SPEARMINT MOUTH WASH,384,2,23000,2021-01-14
474,SUMATEC 50 MG TABLETS,399,0,8160,2020-04-04
475,THYRONORM 50 MG TABLETS,385,3,3600,2019-10-30
476,WITHE MARHAM,446,3,3000,2018-10-04
477,SEPRODREM CREAM  ,415,2,2500,2020-07-07
478,SYRING 5 CC ,1136,153,500,2022-07-30
479,SYRING 10 CC,590,4,2000,2021-12-12
480,SYRINGE BD 1 CC,553,16,2000,2021-02-12
481,SYRINGE BD 3 CC,435,9,1600,2022-01-30
482,SYRINGE BD 5 CC,434,8,1600,2021-07-07
483,SYRINGE 3 CC,1797,105,500,2022-10-30
484,SPIRIT,1101,1,5000,2020-12-12
485,SOFRA TULE,412,6,1905,2019-09-09
486,SEPTRAN DS SYRUP ,433,12,3900,2021-10-30
487,SEPTRAN DS TABLET,416,76,393,2020-09-09
488,SEPTRAN SYRUP,409,15,2900,2021-10-30
489,SEPTRAN TABLET,602,154,193,2021-01-01
490,SMECTA SACHETS,419,60,1533,2019-06-30
491,SANIPLAST UNI FEROZ,410,100,145,2021-09-30
492,SIMILONE TABLET,1057,24,100,2019-03-03
493,SANGOBION SYRUP,407,1,4320,2019-07-07
494,SIROLINE SYRUP,429,15,6500,2020-12-30
495,STREPSILS HONEY LEMON TABLET,468,139,700,2019-12-30
496,SURFICOL TABLET,426,190,72,2019-10-10
497,SURFICOL 120 ML SYRUP,432,1,8000,2019-12-12
498,SODA MINT TABLET LOZ,421,1000,50,2020-08-08
499,SURGEE CREPE BANDAGE SMALL,1099,4,6600,2020-08-30
500,SHAPER BAIG 8X11,497,1,5000,2022-02-04
