id,name,sku,quantity,price,expiry_date
212,DICLORAN SR TABLET,152,28,11.34,2020-06-06
114,BASOQUIN TABLET LOZ,153,0,1,2019-11-11
229,ESSO 40 MG INJECTION,154,1,300,2018-10-10
209,RHEUGIN 50 CAPSUL,155,210,5,2019-05-05
213,DICLORAN INJECTION,156,12,25,2020-06-06
197,DEXA TABLET ,157,1000,0.18,2020-12-11
215,AKSEER-E-NISWAN AJMAL,158,3,80,2019-05-05
225,ENTAMIZOL TABLET,159,69,2.53,2020-08-08
201,DIGAS DROP ,160,1,80,2019-01-01
217,DYNEL TABLET,161,30,1.69,2019-04-04
218,MAXIT 50 MG TABLETS,162,15,6.9,2019-01-01
203,EXEN D SYRUP,163,1,200,2019-03-03
200,DICLORAN GEL,164,3,75.53,2019-07-07
211,DICLORAN 50 MG TABLET,165,61,5.79,2020-09-09
221,DIAGESIC-P TABLET,166,15,6,2019-12-12
1092,DIJEX MP SYRUP,167,2,34.97,2019-10-10
220,COMBIVAIR 400 MCG CAPSULES,168,29,10.71,2019-07-07
202,DIGAS TABLET,169,2,90,2018-11-11
222,DECA-DURABOLIN 50  INJECTION,170,1,92,2019-02-02
825,AMCLAV 375 MG TABLETS,171,6,13.83,2018-02-02
207,SAFI SYRUP,172,2,60,2019-10-10
132,CALPOL SYRUP,173,4,47.32,2019-09-09
87,ANSAID  TABLET,174,60,7.13,2020-08-08
1642,DECALC PLUS TABLETS,175,30,2.76,2019-08-08
251,SAFGO-MET 1 _500 MG TABLETS,176,60,5.07,2018-12-12
252,FLAGYL 400 MG TABLET LOZ,177,200,0.3,2019-07-07
248,FLUEZE SHASHY,178,5,12,2018-12-12
259,FANSIDAR TABLET,179,32,5.83,2019-01-01
256,FAULAD QARSHI SYRUP,180,3,110,2018-04-04
232,ERYTHROCIN 200 MG SYRUP,181,2,66.39,2019-01-01
826,ROGNE KALONJI 25ML,182,3,75,2018-10-10
249,MOBIKARE DR 75 MG CAPSULES,183,28,8.05,2018-09-09
239,FERRICURE CAPSUL,184,25,11,2019-05-05
242,FLAGYL SYRUP,185,7,48,2019-08-08
246,FEFOL CAPSUL,186,29,1.92,2019-05-05
102,BETNESOL N EYE OINTMENT,187,10,19.02,2019-08-08
237,FRU CAPSUL,188,59,17.5,2019-03-03
1060,OSNATE 800 MG TABLET,189,24,7.33,2021-09-09
236,EZIDAY 50 MG TABLET,190,58,14.75,2019-09-09
260,FANSIDAR SYRUP,191,4,40,2021-11-11
240,FLAGYL DRIP,192,2,93.94,2020-05-05
244,FEBROL SYRUP,193,5,28,2019-05-05
606,ZESTRIL 5 MG TABLET,194,58,7.85,2021-01-01
1061,HYDROZOLE 20 G CREAM,195,0,154.17,2020-09-09
243,GLUCOPHAGE 250 MG TABLET ,196,150,680,2020-07-07
255,FURACIN CAREM,197,1,26.28,2018-01-01
231,BROTIN 2.5 MG TABLETS,198,23,12.13,2019-05-05
827,DEXIMOX EYE DROPS,199,2,202.86,2019-02-02
235,EVION 600 MG CAPSULES,200,34,6,2018-08-08
257,FURADIL TABLET,201,650,0.2,2018-06-06
1641,MOSEGOR  120 ML SYRUP,202,2,110.81,2019-11-11
247,FEROPYORHEAN ,203,2,40,2022-07-07
287,GETFORMIN 1 MG TABLET,204,25,5.06,2020-07-07
280,GLYCERIN PUR 25GM,205,10,22,2019-09-09
1034,PREAZIT-L 40 INJECTION,206,5,300,2019-04-04
267,GAVISCON SYRUP,207,4,74.5,2019-06-06
283,GRAVIBINAN 1 ML INJECTION ,208,2,109,2021-12-12
268,GRIPE WATER NAUNEHAL,209,3,50,2020-08-08
273,GETRYL 4 MG TABLET,210,27,19,2020-07-07
289,GAVISCON ADVAN SYRUP,211,4,123.5,2019-06-06
269,GYNAECOSID TABLET,212,6,34.68,2022-08-08
290,GESTOFILL SYRUP QARSHI,213,5,80,2019-06-06
262,FLUEZE TABLETS,214,0,2.5,2018-12-12
266,GESTOFILL TABLET QARSHI,215,187,1.66,2020-08-08
265,GRAVINATE SYRUP,216,3,40,2020-07-07
139,CPM TABLET LOZ,217,1000,0.2,2020-11-20
264,GRAVINATE INJECTION,218,33,10.12,2020-06-06
828,AMCLAV 1000 MG TABLETS,219,12,30.13,2018-09-09
284,GRAVIBINAN 2M INJECTION,220,2,183,2022-06-06
286,GENTACIN DRAP CHINA,221,8,20,2018-01-01
277,GRASIL 100 MG INJECTION,222,3,100,2019-05-05
1603,LAFAFI LARGE,223,0,50,2021-12-27
78,AZOMAX 500 MG TABLET,224,4,46.66,2019-07-07
288,GETFORMIN 2 MG TABLET,225,31,8.35,2020-10-10
281,GLYCERIN PUR 150GM,226,1,120,2019-02-02
270,GETRYL 1 MG TABLET,227,40,5.05,2020-06-06
278,GRASIL 250 MG INJECTION,228,3,145,2019-04-04
285,GENTACIN INJECTION CHINA,229,49,10,2019-07-07
279,GRASIL 500 MG INJECTION,230,2,200,2019-02-02
263,MONTIKA 5 MG TABLETS,231,14,15.35,2018-12-12
110,PAEDI CARE ORANGE FLAVOUR ,232,1,80,2019-07-07
319,DIGESTINE 40 MG CAPSULES,233,18,12.9,2021-02-02
297,IMODIUM CAPSUL,234,8,3.23,2022-05-05
296,HEALER 20 CAPSUL,235,97,10.29,2018-12-12
301,CUTIS 125 MG TABLETS,236,6,27,2019-05-05
302,INDERAL  10 MG TABLETS LOZ,237,50,1.33,2022-04-04
315,KLARICID 125 MG SYRUP ,238,1,319.5,2019-08-08
1035,HAJMOLA IMLI SHASHY,239,0,2,2019-04-04
305,JETEPAR SYRUP ,240,2,152.15,2019-07-07
314,KALI MARHAM,241,2,20,2022-01-24
316,CURALL A EYE DROPS,242,2,42.55,2018-09-09
298,AZ-KO 250 MG CAPSULES,243,1,25.5,2019-07-07
304,JETEPAR CAPSUL,244,1,78,2019-02-02
1604,OSNATE D 60 ML SYRUP,245,4,142.8,2019-01-01
1605,BISMOL 265 MG TABLETS,246,40,4.05,2018-01-01
337,LONACORT INJECTION,247,6,46.92,2020-09-09
306,JETEPAR 10 INJECTION,248,9,30,2019-01-01
318,DICLORAN DISPERLET 50 MG TABLETS,249,40,5.31,2019-03-03
294,HEPA-MERZ SYRUP,250,4,147.85,2019-08-08
317,KLEEN ANIMA,251,1,48.38,2018-11-11
295,HEPA-MERZ INFUSION,252,5,211.8,2018-11-11
107,BANDAGES 5 CM X 3M,253,45,10,2019-09-09
307,JETEPAR 2 INJECTION,254,0,8.6,2018-04-04
299,SPASLER NEO TABLETS,255,16,5.83,2019-02-02
311,KINZ 10 MG INJECTION,256,20,63,2020-01-01
292,HYDRYLIN DM SYRUP,257,0,72,2019-02-02
310,KUNDER CAPSUL,258,0,3,2018-11-11
312,KANAMYCIN INJECTION CH,259,4,10,2019-08-08
321,LAMISIL CREAM,260,1,245.17,2021-09-09
313,MABIL TABLETS,261,27,5.7,2019-06-06
325,MOBIKARE 50 MG CAPSULES,262,10,4.9,2020-03-03
327,REVOMET PLUS GEL,263,0,102.44,2018-09-09
328,REVOMET GEL,264,1,82,2018-07-07
344,LIGNOCAINE GEL,265,2,31.16,2020-06-06
333,LASIX 20 MG TABLET,266,100,1.13,2020-06-06
339,SPARAXIN 100 MG TABLETS,267,10,67.8,2018-07-07
324,LAXOBERON 120 ML SYRUP,268,3,74.75,2020-08-08
326,LIDOSPORIN DROP,269,2,21.42,2019-04-04
352,METODINE DF SYRUP,270,2,52,2019-07-07
54,AMOXIL 250 MG CAPSUL,271,99,3.56,2019-08-08
1643,ZAMCAL-D TABLETS,272,30,16.66,2020-09-07
830,ISPAGHOL HANGER 4GR MARHABA,273,7,10,2020-04-04
340,DISPRIN PACKET TABLETS,274,4,128.58,2020-10-10
350,MAXOLON SYRUP,275,7,29.83,2022-07-13
346,LEVOPRAID 25 MG TABLET,276,14,10.84,2022-08-08
330,LINCOCIN INJECTION 600,277,8,58.69,2019-07-07
334,LASIX 40 MG TABLET,278,100,1.89,2020-07-07
349,MOSEGOR TABLET,279,61,5.05,2018-12-12
323,DR.KOFF SYRUP,280,1,235,2018-10-10
335,LASIX INJECTION,281,17,5.64,2018-04-04
1606,BLOKIUM 50 MG TABLETS,282,28,5.83,2020-10-10
1036,LIPIGET 20 MG TABLETS,283,10,31,2019-09-09
338,LEVIJON SYRUP,284,3,142.8,2018-12-12
351,METODINE SYRUP,285,1,82.5,2019-04-04
1037,QUIBRON-T_SR TABLETS,286,80,4.6,2019-08-08
1038,VERICEF 500 INJECTION,287,1,41,2018-05-05
829,AMCLAV 625 MG TABLETS,288,6,20.18,2018-02-02
332,LETIRIX TABLET,289,1,5.5,2018-02-04
342,LINCOCIN 300 INJECTION,290,1,39,2018-04-04
370,COLIC POND,291,3,40,2019-09-09
375,NEXPRO 20 CAPSUL,292,15,8.5,2018-03-03
366,MOTILIUM SYRUP,293,4,85.2,2020-07-07
376,NEXPRO 40 CAPSUL,294,3,22.85,2018-03-03
362,MOOV CREM,295,1,120,2020-03-03
143,CAPOTEN 25 MG TABLET ,296,18,7.66,2020-06-06
1039,VERICEF 1000 INJECTION,297,2,74,2018-05-05
1040,CALPOL TABLETS,298,0,0.92,2022-12-03
374,NILSTATE DROPS,299,8,57.79,2020-09-09
371,MIURA-D VITAMIN D3  INJECTION,300,2,112,2018-12-12
356,SHINE-D CAPSULES,301,5,180,2019-03-03
361,MOSPEL LIOTION,302,4,130,2019-02-02
372,MYCITRACIN CAREM,303,3,110,2019-06-06
373,MANACID FORTE SYRUP,304,6,35,2019-03-03
377,TOCINOX INJECTION,305,11,10,2018-08-08
360,MYTEKA SACHETS,306,14,17.85,2019-09-09
205,LEUCO CURE CAPSULES,307,2,190,2019-03-03
357,MS 33,308,1,50,2020-05-05
369,FACE MASK ,309,19,5,2024-01-01
276,GLUCOPHAGE 850 MG TABLET,310,110,2.05,2020-08-08
359,METHYCOBAL INJECTION,311,14,93.6,2020-07-07
354,POLYMALT TABLETS,312,25,8.5,2018-06-06
198,DEXA INJECTION,313,16,10,2019-11-25
857,ZESTRIL 20 MG TABLETS,314,14,25.57,2018-11-11
382,NAPROX 250 MG TABLET,315,45,4.2,2019-09-09
353,METODINE TABLET,316,15,4.66,2019-07-07
379,NOVIDAT INJECTION,317,2,164,2019-09-09
308,JOHAR JOSHANDA QARSHI,318,54,10,2020-09-09
831,ARQ-E-GULAB 800ML MARHABA,319,2,120,2019-11-11
387,NEO-SEDIL SYRUP,320,3,36,2019-07-07
261,FRUITAMIN SACHETS,321,18,7,2019-08-08
384,NL-33 MILK,322,1,730,2019-04-12
832,ROSE WATER SPRAY MARHABA,323,4,70,2020-08-08
386,NOVIDAT 250 MG SYRUP,324,4,162.29,2019-07-07
94,ARCEVA 80_480 MG TABLET,325,12,55.78,2019-07-07
851,ASCARD-75 MG TABLETS,326,50,1.22,2019-08-08
833,ARQ-E-GULAB 50ML MARHABA,327,6,25,2020-02-02
853,REMIPAR SYRUP,328,3,19,2019-02-02
389,PROVIRON 25 MG TABLET,329,20,12.37,2021-05-05
77,AZOMAX 250 MG CAPSUL,330,6,33.16,2019-08-08
849,DIANE-35 TABLETS,331,1,310,2020-07-07
394,BRELET 120 ML SYRUP,332,3,175,2019-03-03
388,NUBEROL TABLET,333,11,4.26,2019-05-05
1042,DERMAZIN 50 G CAREM,334,2,160,2019-02-02
398,OMEGA 40 MG CAPSUL,335,54,18.11,2019-09-09
1041,FAMOT 20 MG TABLET,336,20,8.7,2019-05-05
363,STILLMANS GREEN CREAM,337,2,250,2020-06-06
850,LERIDAL 5 TABLETS,338,9,5.5,2018-05-05
393,INTIG-D 60 ML SYRUP,339,1,110,2018-05-05
847,COFERB COUGH PLUS SYRUP,340,1,195,2019-07-07
392,NAVIDOXINE TABLET,341,93,1.95,2021-08-08
834,ARQ-E-GULAB 25ML DROP MARHABA,342,24,20,2020-08-08
396,OTOSPORIN DROPS,343,4,25.36,2019-05-05
385,CEF-OD DS SYRUP,344,1,209,2019-04-04
391,NO-SPA INJECTION,345,15,31.9,2019-06-06
1031,DESTINA 5 MG TABLET,346,4,17,2018-11-11
399,OMEGA 40 MG INJECTION,347,1,290,2018-10-10
848,COFERB COUGH SYRUP,348,2,175,2019-09-09
444,PENORIT TABLET,349,42,6.67,2020-04-04
434,PROMETHAZIN TABLET LOZ,350,1000,0.2,2020-02-02
395,NIDO 1 PLUS 400 GR MILK,351,2,425,2018-08-08
431,PEDIA SURE POWDER,352,1,1000,2019-03-03
368,MOVAX 2 MG TABLET,353,33,12.88,2020-09-09
445,PHLOGIN 50 MG CAPSUL,354,44,9.6,2020-05-05
438,POLYFEX SKIN OINTMENT,355,3,49.37,2022-07-07
291,HYDRYLIN SYRUP,356,4,69,2019-10-10
300,IPS  F SYRUP ,357,1,95,2018-04-04
428,PYODINE CHOTI ,358,4,62.64,2020-10-10
439,POLYFEX PLUS CREAM,359,0,80.5,2019-04-04
429,PYODINE POND,360,1,337.47,2019-10-10
1144,COMBINOL-D SYRUP,361,4,49.45,2020-08-08
836,BUNYAD NESTLE 260 GR,362,2,185,2018-07-25
440,PANADOL CF TABLET,363,100,2.5,2019-05-05
441,FURAMID 60 ML SYRUP,364,4,29,2018-11-11
980,PULMITAC SYRUP,365,2,79,2019-08-08
430,PCM POND,366,3,50,2019-08-08
837,NIDO 390 GR MILK,367,1,380,2018-04-04
365,NEODIPAR 850 MG TABLET,368,44,2,2019-12-12
437,KENALOG CREAM,369,2,40.8,2019-08-08
226,ENTAMIZOL DS TABLET,370,31,5.04,2020-09-09
835,BUNYAD NESTLE 130 SACHE,371,6,95,2018-07-07
443,PHENERGAN SYRUP,372,5,33,2019-05-05
462,AVIL INJECTION,373,83,20,2019-06-06
422,PONSTAN FORT TABLET,374,128,2.28,2022-08-08
427,PIRITON SYRUP,375,2,27.13,2020-07-07
419,POTRAN TABLET ,376,192,5,2018-08-08
1644,GOLDEN PEARL FACE WASH OIL CONTROL,377,2,75,2019-10-10
452,RISEK 20 MG CAPSUL,378,11,15.42,2020-02-02
455,RUBIFER-F TABLET,379,22,9.88,2020-08-08
459,FROBEN 50 MG TABLETS,380,30,5.43,2019-09-09
1143,AVIL 50 MG TABLETS,381,50,0.63,2019-09-09
1607,ATORVA 20 MG TABLETS,382,12,33,2019-06-06
447,PHLOGIN INJECTION,383,17,27.4,2020-06-06
473,LISTERINE SPEARMINT MOUTH WASH,384,2,230,2021-01-14
475,THYRONORM 50 MG TABLETS,385,1,36,2019-08-08
472,STEMETIL TABLET,386,280,0.8,2020-05-05
470,CANNA PETAL ROLL,387,3,25,2022-02-04
469,MARK 20 MG CAPSULES ,388,14,10.3,2018-11-11
454,RISEK 40 MG INJECTION,389,1,310,2019-07-07
457,RIGIX TABLET ,390,20,4.66,2020-06-06
468,CLARITEK 250 MG SYRUP,391,1,435.29,2019-06-06
453,RISEK 40 MG CAPSUL,392,20,22,2020-08-08
460,RINGER 500 ML DRIP,393,3,56,2021-06-06
471,SANGOBION CAPSUL,394,90,3.33,2019-09-09
449,QUENCH 15 GR CREAM,395,3,50,2020-08-08
451,RESOCHIN TABLET,396,192,1.45,2020-03-03
839,DUE BEAUTY CREAM,397,3,300,2020-08-01
465,SKILAX DROP,398,5,36,2020-10-10
474,SUMATEC 50 MG TABLETS,399,2,81.6,2020-04-04
840,MOVAX 4 MG TABLET,400,15,17.5,2020-03-03
458,PROVAS INJECTION,401,5,18.62,2018-08-08
464,SANCOS SYRUP,402,0,56.57,2019-11-11
433,PCM TABLET LOZ,403,1000,0.5,2019-12-04
466,SOMOGEL CREAM,404,2,49.37,2019-10-10
456,ROVISTA 20 MG TABLET,405,15,35.4,2018-04-04
461,NS 100 ML DRIP,406,4,38,2019-01-01
493,SANGOBION SYRUP,407,1,43.2,2019-07-07
841,ZUDIC CREAM,408,5,135,2019-09-09
488,SEPTRAN SYRUP,409,5,29,2021-08-08
491,SANIPLAST UNI FEROZ,410,115,1.4,2021-02-02
1609,SUSTAC 6.4 MG TABLETS,411,34,7.13,2018-04-04
485,SOFRA TULE,412,6,19.05,2019-09-09
435,PROMETHAZIN POND,413,3,50,2019-09-09
272,GETRYL 3 MG TABLET,414,27,12.25,2020-08-08
477,SEPRODREM CREAM  ,415,2,25,2020-07-07
487,SEPTRAN DS TABLET,416,118,3.93,2020-09-09
1610,LICE-O-MITE CREAM,417,1,46,2019-10-10
502, SCABION LIOTION,418,2,87.7,2020-09-09
490,SMECTA SACHETS,419,5,15.33,2018-06-06
506,SHECHI LARGE GURAS,420,2,80,2021-10-30
498,SODA MINT TABLET LOZ,421,1000,0.5,2020-08-08
505,SHECHI SMALL GURAS,422,2,70,2021-10-31
979,XYZAL TABLETS,423,4,5.5,2019-01-01
1608,JENTIN MET 50 MG_1000 MG TABLETS,424,14,21,2019-04-04
154,CARICEF DS SYRUP,425,3,255,2019-08-08
496,SURFICOL TABLET,426,60,0.72,2019-10-10
501,SODA GLYCERIN DRAP,427,6,15,2018-07-07
842,ZUDICORT CREAM,428,1,168.3,2019-08-08
494,SIROLINE SYRUP,429,18,65,2020-11-11
504,ECP SABZAZ STARA TABLET,430,6,15,2022-04-04
436,PRIMOLUT-N TABLET,431,0,5.83,2022-06-06
497,SURFICOL 120 ML SYRUP,432,3,80,2019-12-12
486,SEPTRAN DS SYRUP ,433,5,39,2021-05-05
482,SYRINGE BD 5 CC,434,8,16,2021-07-07
481,SYRINGE BD 3 CC,435,3,16,2021-09-09
57,ARINAC SYRUP ,436,4,65.82,2019-10-10
525,BETNESOL-N DROPS,437,5,33.89,2018-04-04
528,COSOME-E SYRUP,438,3,52,2018-06-06
293,HYDRYLIN SYRUP SUGER FREE,439,2,69,2019-04-04
282,GLYCERIN large,440,4,10,2021-04-04
44,UNIVERSAL SOFT COLLAR LARGE,441,1,300,2023-05-05
513,TENORMIN 100 MG TABLET,442,10,9.28,2021-11-11
527,PULMONOL SYRUP,443,60,80,2019-09-09
383,NAPROX 500 MG TABLET,444,8,7.15,2019-10-10
512,TENORMIN 50 MG TABLET,445,58,6.19,2022-07-07
476,WITHE MARHAM,446,3,30,2018-10-04
520,CLARITEK DROPS,447,4,111,2019-07-07
508,PASMOLEX DROPS,448,1,146,2020-07-07
